,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125
R2,0.801372029723637,0.8063378619284619,0.8026954613562827,0.798335527027705,0.8110761352290019,0.8126102876231767,0.8123853850030213,0.8054069488250102,0.8013718363765348,0.798869123758362,0.8019369723292118,0.8097327851396081,0.8126043726642262,0.816877955314867,0.8205997878351982,0.8279334019462036,0.8437593816598132,0.8531009727650785,0.8528019092813458,0.8527400865026183,0.8466716394500327,0.8479636265747419,0.8453709404293805,0.8450976033281449,0.8405629927202432,0.8388079622719082,0.8454056383334548,0.8432573673727093,0.8416861658939037,0.8442148159743111,0.8526988933756363,0.8526177337078291,0.8561426235630473,0.8603807194305144,0.866892338111566,0.8644702927344818,0.8635619774726238,0.8680042570813384,0.87450899097216,0.8755134444958022,0.8772368301563139,0.880537891061462,0.8802863383254578,0.8786818383893563,0.8803998322864731,0.8878243080924428,0.8976434774365557,0.9027388850987221,0.9037670241437725,0.9009022391302408,0.9030935374313829,0.9009194320270224,0.8945992278591295,0.88793276633008,0.888704923314598,0.881242487420648,0.8864736230203917,0.8944335765268419,0.895626512591303,0.8942031834817149,0.8895200059164454,0.8943092494219568,0.9068690876573673,0.9193097193831521,0.9293496762652687,0.9363721279262294,0.9397141758855979,0.9362374538569715,0.9306994336589854,0.9277842303364898,0.9233549537682834,0.9197087791528084,0.9241088262799357,0.9338549742207618,0.9352759429821932,0.9217703524809119,0.9171790263281069,0.9187418434051702,0.9251527114445467,0.9340974768259889,0.937018664002256,0.9362423948019438,0.9349520048467904,0.9290765880569827,0.9286033592720919,0.9369159810410903,0.9429330965699811,0.9404061559569742,0.9423580030755476,0.940446211970379,0.9323440335993602,0.9304222786858831,0.9323779836319079,0.9325383257730888,0.9433787140324524,0.9457586393429078,0.9474223791844922,0.9604038882777649,0.9582437938002425,0.9567581791455457,0.9589362688082761,0.9561749090390572,0.9561204744375307,0.9557789967159882,0.9623468947244678,0.9744114832843958,0.9774208208168963,0.9732439489956521,0.9683642806576479,0.9645141125345182,0.9593043160889396,0.9576555862063318,0.9601915334496671,0.9620320185803688,0.9598924600302313,0.9593526267809609,0.956716287943925,0.9505914677361429,0.9510545108916222,0.9610771687297351,0.9662552195993582,0.9686389984145268,0.9641647942502468,0.9644101933310119,0.968745954211145,0.9686124695054499
MSE,8.20642933530168e-09,7.989589948561659e-09,8.055459046811803e-09,8.296372878654679e-09,7.977372897689961e-09,7.799435036717693e-09,7.89744524903234e-09,8.437051125081414e-09,8.638059073320017e-09,8.777459315748935e-09,8.61127691407992e-09,8.192568543655167e-09,8.116698904336745e-09,8.192774153661521e-09,8.367881471081019e-09,8.128786357451404e-09,7.620763477508378e-09,7.332926717182108e-09,7.322814711126635e-09,7.284370448647999e-09,7.565112302194753e-09,7.627066933636654e-09,7.800078404251371e-09,7.883970209393083e-09,8.197341986701977e-09,8.42577515945795e-09,8.210441556464204e-09,8.352224308539056e-09,8.400496024251033e-09,8.239685927477088e-09,7.677681643265719e-09,7.66690456300427e-09,7.3959617984693295e-09,7.0671953114467395e-09,6.8380890671025275e-09,7.0492542845928594e-09,7.015518205318733e-09,6.79319108658168e-09,6.41737702983193e-09,6.2662386159033956e-09,6.11878461485425e-09,5.8748360564650405e-09,5.893145125724238e-09,5.965063740721579e-09,5.895590943768563e-09,5.4783432850012e-09,4.87915020556775e-09,4.4658412611514286e-09,4.2673015655023106e-09,4.284035545652917e-09,4.03679665232252e-09,3.9741696829117034e-09,4.093219792633549e-09,4.217695323801602e-09,4.028496551361614e-09,4.2293751989415064e-09,4.010495562448418e-09,3.678422030579094e-09,3.6281460973494318e-09,3.6940573402749827e-09,3.836980941725055e-09,3.5716114288539894e-09,3.0179525461326704e-09,2.5394420209179843e-09,2.154433438718275e-09,1.8856917093652194e-09,1.7345374391746529e-09,1.8015053389740146e-09,1.927257667497583e-09,1.9610546172438092e-09,2.072990711395658e-09,2.1469028594369316e-09,1.971115186449021e-09,1.6503074885187547e-09,1.5487128316227252e-09,1.8697202465315516e-09,1.9078503451902023e-09,1.7787600934220954e-09,1.6407660309833831e-09,1.4619597201750525e-09,1.4055612222976051e-09,1.4129840248852647e-09,1.4252599333151734e-09,1.5618788899476666e-09,1.5479944498974148e-09,1.3081899583034183e-09,1.1590354371158591e-09,1.2045117844884858e-09,1.1555583080068374e-09,1.1814998228048116e-09,1.3155901916250195e-09,1.3186703285636455e-09,1.254268088504819e-09,1.2422782877624676e-09,1.037595243406436e-09,1.0161042911378605e-09,9.743378285902055e-10,7.269187756802889e-10,7.709620379986213e-10,7.823392708085301e-10,7.4251653864063e-10,7.951935489525505e-10,7.882802797478417e-10,7.964685707569745e-10,6.827719021028706e-10,4.631950499504797e-10,4.07739390909503e-10,4.823011883786752e-10,5.643212514897038e-10,6.347725742738441e-10,7.270889604756062e-10,7.515468169733203e-10,7.151547323732799e-10,6.775499566538046e-10,7.135386447059964e-10,7.060790275964151e-10,7.374331678240771e-10,8.39460908748641e-10,8.480417457107422e-10,6.80784539503831e-10,5.93940098127546e-10,5.735921441340428e-10,6.690324577883873e-10,6.634183346511809e-10,5.721484096658354e-10,5.736388768417964e-10
MAE,3.6506870475562e-05,3.65127111279738e-05,3.566918269497926e-05,3.8551279751157634e-05,3.7858926733272284e-05,3.917146840472503e-05,4.0916207211354214e-05,4.189565379750117e-05,3.993846996799173e-05,4.0535730763902465e-05,4.1148975422002785e-05,4.0106936218369375e-05,4.062782892594716e-05,4.1738947255911106e-05,4.3350892615558484e-05,4.257559224202071e-05,3.931165654159692e-05,4.020511226537827e-05,4.063400333823294e-05,4.140101563404013e-05,4.443445555423606e-05,4.315547147192717e-05,4.4368349018856716e-05,4.408827502843284e-05,4.527787513772777e-05,4.535767384475193e-05,4.295335244994406e-05,4.1379291871336885e-05,4.207848313232272e-05,4.136308722492494e-05,4.08136615907996e-05,4.1359963189634206e-05,4.1870041256080384e-05,4.1147392743505846e-05,3.935131397727941e-05,3.964520662455072e-05,3.812323494151587e-05,3.835521899941721e-05,3.757682084672137e-05,3.878635539673231e-05,3.730458927649975e-05,3.729765535356525e-05,3.8483478986317105e-05,3.983257218269063e-05,3.909472138929723e-05,3.780790499149343e-05,3.5383690070058926e-05,3.580896975846412e-05,3.731037813621973e-05,3.674842020723909e-05,3.8032662781479646e-05,3.794510949726843e-05,3.644737189376547e-05,3.733221587927381e-05,3.603900972764978e-05,3.6101808317009205e-05,3.4740281680164575e-05,3.3916197152399785e-05,3.452042582965989e-05,3.5856520523121706e-05,3.619883914384304e-05,3.72394397750059e-05,3.514367506415801e-05,3.4254140574570614e-05,3.18953096566489e-05,3.0433340672596945e-05,3.052798255208053e-05,3.209136684215202e-05,3.279942683246601e-05,3.2771359738954624e-05,3.3737871642963115e-05,3.288462554742788e-05,3.280898686354441e-05,2.9560228364354714e-05,2.7845553872546418e-05,2.9171224440933214e-05,2.9432729178623375e-05,2.9763167819918745e-05,2.9734655299917303e-05,2.8191413105038358e-05,2.8532044735952194e-05,2.832332101651779e-05,2.8736222904027732e-05,3.0470253035313678e-05,2.9733563202186078e-05,2.647450295216325e-05,2.5789812635732706e-05,2.5773369568682855e-05,2.4834730357523727e-05,2.6085493293292114e-05,2.708862530710026e-05,2.649860902258982e-05,2.4366152234220777e-05,2.374860724102554e-05,2.2483196030040875e-05,2.1968985976922043e-05,2.187458751333467e-05,1.8874194835066577e-05,1.9908680489975024e-05,2.038463071641746e-05,2.1054587362376193e-05,2.2373038216226503e-05,2.1879170131150157e-05,2.2020876334066486e-05,2.0165756158123517e-05,1.780113305319561e-05,1.6343745859193525e-05,1.8139345378392312e-05,1.915963487002592e-05,2.015582584124735e-05,2.1277715286829976e-05,2.1377099898965164e-05,2.1451754729720013e-05,1.9984040504588853e-05,2.0019017267766856e-05,2.0120596265460326e-05,2.039170843504287e-05,2.1672826000550732e-05,2.1399518703457027e-05,1.9290696012068665e-05,1.8135930763432522e-05,1.7542895674045415e-05,1.8476692657300247e-05,1.901313099478038e-05,1.792651401918166e-05,1.7609774535603372e-05
RMSE,9.05893444909592e-05,8.938450619968573e-05,8.975220914725053e-05,9.108442720166098e-05,8.931614018580271e-05,8.831441013061058e-05,8.886757141405598e-05,9.18534219562963e-05,9.294115919935589e-05,9.368809591270886e-05,9.279696608230207e-05,9.051280872702585e-05,9.009272392561313e-05,9.051394452603157e-05,9.147612514247103e-05,9.015978237247139e-05,8.729698435517906e-05,8.563250969802361e-05,8.557344629688952e-05,8.534852341223015e-05,8.69776540393839e-05,8.7333080408495e-05,8.831805253882907e-05,8.879172376631215e-05,9.05391737686068e-05,9.179202121893793e-05,9.061148689026246e-05,9.139050447688236e-05,9.165421989330897e-05,9.077271576568086e-05,8.762238094953663e-05,8.756086205037197e-05,8.59997778977907e-05,8.406661234667863e-05,8.269273890192855e-05,8.395983733067173e-05,8.375869032714596e-05,8.242081707057799e-05,8.010853281537449e-05,7.915957690578819e-05,7.822266049460508e-05,7.664747912661603e-05,7.676682307953246e-05,7.723382510740731e-05,7.678275160326415e-05,7.401583131331567e-05,6.985091413551973e-05,6.682695011109985e-05,6.532458622526675e-05,6.545254422597274e-05,6.353579032578819e-05,6.304101587785291e-05,6.397827594296012e-05,6.494378587518287e-05,6.347043840530498e-05,6.50336466680249e-05,6.332847355217413e-05,6.064999613008309e-05,6.023409414400977e-05,6.0778757311045634e-05,6.194336882770468e-05,5.976296034212152e-05,5.4935894878782765e-05,5.0392876688258076e-05,4.64158748567586e-05,4.3424551918991856e-05,4.1647778322194485e-05,4.244414375357353e-05,4.3900542906638214e-05,4.428379632827124e-05,4.553010774636557e-05,4.63346831157496e-05,4.4397243005045043e-05,4.062397676888311e-05,3.9353688920134604e-05,4.3240261869368366e-05,4.367894624633477e-05,4.217534935743977e-05,4.050637025189227e-05,3.823558186002996e-05,3.7490815172487314e-05,3.758967976566527e-05,3.775261492023001e-05,3.9520613481418356e-05,3.934456061385633e-05,3.616890872425402e-05,3.404460951627818e-05,3.47060770541484e-05,3.399350390893586e-05,3.437295190705639e-05,3.627106548786539e-05,3.6313500637691835e-05,3.541564750932586e-05,3.524596839019277e-05,3.2211725247282796e-05,3.187639081103537e-05,3.1214384962549004e-05,2.6961431261716966e-05,2.7766203161372665e-05,2.7970328400083723e-05,2.7249156659255165e-05,2.8199176387840666e-05,2.80763295276972e-05,2.8221774762707155e-05,2.6129904364594805e-05,2.1521966684076055e-05,2.019255780998294e-05,2.196135670623915e-05,2.3755446775207235e-05,2.5194693375269404e-05,2.6964587155667824e-05,2.741435421404853e-05,2.6742377089056235e-05,2.6029789792731802e-05,2.671214414280509e-05,2.6572147590972303e-05,2.715572072002651e-05,2.8973451792091343e-05,2.912115632509709e-05,2.6091848142740503e-05,2.4370886281125396e-05,2.394978380140503e-05,2.5865661750444105e-05,2.5756908483961754e-05,2.39196239449084e-05,2.39507594209828e-05
MAPD,3.8584486438816996,5.054693993943076,4.986587204701756,5.784880352815414,5.515871112422482,5.785045123527531,5.636908538542943,5.635839551460169,4.741240079824173,4.9500353612552725,4.9650941797240185,4.756511543286294,4.763886573636242,5.468350378949595,5.261977494748719,5.82530697998982,5.105185812913005,4.9530957996871265,5.203467417669338,4.487344571379248,5.626997025475242,5.100335571991781,5.219588117491404,5.499450692913252,5.506728235962841,5.520928224657,4.280138984821309,4.312773810250804,4.069619509486818,3.8165527399787775,3.8374788266350492,3.3244291001532913,4.4121634983949,3.7902072546865324,3.423673770875397,3.2332380538271455,2.579600039083438,2.6579492861438117,2.907829343544238,4.0142437314738215,3.3864534215890996,3.387666985634797,3.642916299054004,3.9310255091617825,3.4387378025994035,3.529179355740212,3.335768853415022,3.479554021810072,4.150901552334152,4.467649916721596,4.276022412596212,4.845354579765236,4.20399740082901,4.846844026224369,4.104491989875733,3.870027735496145,4.125126123658214,3.516731401211684,3.4955267374041696,3.9570737367019966,4.415608942475573,5.240623750343714,4.339939989905623,5.2283328123905415,5.123719414661583,5.618012487859119,5.012397700507444,5.164059369842638,4.875360138989369,5.357484209268546,5.891061946810467,5.539934579713162,5.288235620895237,5.34953476257579,5.053300381638021,4.366448707763302,3.5682259261367024,4.07647780705363,5.290894050900126,4.820135295843055,5.016489406027603,5.312393892394716,5.560196181001499,6.386321064790297,5.924079827800514,5.053872286294787,4.311238403834179,4.079289330639607,4.078842897664445,5.895362858644354,4.990974694439712,5.263984052829734,5.156645240001777,4.564621441700843,4.1840171743489325,4.239993990301329,4.405212644088817,3.4262643809728535,3.587851064790231,5.2199395672339035,4.9006508651145895,5.784225983756732,5.83934022243657,5.969885477047048,5.294255171274781,4.972221738848862,4.604826099895765,5.429428681915431,5.202178423917471,6.115833950844254,5.6330555191486,6.869335612459464,5.854161272932465,5.606226508376152,5.764411598567701,5.3698159557577,5.379159008257573,6.139951189580987,6.128606993896846,5.294606208657109,5.80128820818316,3.9436554460720536,3.791225681308228,5.12982806425912,5.087025615953989,4.776416569631102
Bias,-1.832754411766641e-05,-1.6172929734312044e-05,-1.7423185285615622e-05,-1.8028752784572278e-05,-1.5648783857889953e-05,-1.5755800497421703e-05,-1.699815012295801e-05,-1.7451403201905236e-05,-1.824384966646926e-05,-1.769891765563833e-05,-1.5339919337101526e-05,-1.4653352807949461e-05,-1.4492843118167087e-05,-1.5096861945446013e-05,-1.544657895536193e-05,-1.4429500736802246e-05,-1.3579760731692327e-05,-1.512730364550122e-05,-1.8290772886959242e-05,-1.7718679001222505e-05,-1.8307541559491028e-05,-1.5946892408270073e-05,-1.66130008451629e-05,-1.7673538523423973e-05,-1.891776035977923e-05,-1.8722158629701776e-05,-1.7734145056449017e-05,-2.002405817167178e-05,-2.2307150856420155e-05,-2.1770533135688113e-05,-2.0803769010562546e-05,-1.9931770176801508e-05,-2.0670262642284074e-05,-2.1464400890728708e-05,-1.8346612953014788e-05,-1.9234987517540247e-05,-2.0757163780326017e-05,-1.9852163663653047e-05,-1.9710294678650014e-05,-2.1155471255097943e-05,-1.8178284354804823e-05,-2.174679705574075e-05,-2.1304878078782087e-05,-2.170847613357553e-05,-2.2390160775180344e-05,-2.0767568104211405e-05,-1.7737745777248757e-05,-1.806028917725691e-05,-1.834204428911575e-05,-1.8969106619953454e-05,-1.934390497761649e-05,-1.9776890053285206e-05,-1.9452015347039712e-05,-1.925658085626189e-05,-2.017395689023142e-05,-2.0480415360359026e-05,-1.81247288004423e-05,-1.6408384586980863e-05,-1.5888786242029796e-05,-1.3513068855614677e-05,-1.304730715019073e-05,-1.3116054272024843e-05,-1.0939733089869491e-05,-1.1215706055809657e-05,-1.0996961881675665e-05,-1.0746471516034074e-05,-1.0646279965314401e-05,-1.0606329258702629e-05,-8.961867078152079e-06,-9.147940028336846e-06,-8.496767749067293e-06,-8.439463977489528e-06,-7.959823342103374e-06,-7.66841850520056e-06,-4.5069413928715785e-06,-5.683789340235865e-06,-5.549431910392851e-06,-4.837470603780091e-06,-3.1060756387387077e-06,-3.0986768037292364e-06,-2.0719261441693126e-06,-3.467895691911319e-06,-5.562262588877788e-06,-6.268799509648519e-06,-4.639833063202434e-06,-2.7124518572347938e-06,-3.4689358113628028e-06,-5.772425757068197e-06,-6.8874808422361065e-06,-9.059369576219907e-06,-9.273404251922606e-06,-8.902728415149857e-06,-7.778803919477972e-06,-8.39985813327927e-06,-7.91948322334485e-06,-6.85748152440204e-06,-6.492572165348969e-06,-4.3223604186742845e-06,-3.322467676848569e-06,-4.5766010163656334e-06,-4.375291511363235e-06,-4.501943981025345e-06,-3.3907882071997853e-06,-2.970493751105742e-06,-3.909427978607485e-06,-3.5753544859697473e-06,-1.1275815913784779e-06,-1.8893415587799003e-06,-2.7770979382446252e-06,-2.3446080077742532e-06,-1.16313436205205e-06,-4.656709056655343e-07,5.145922856998055e-07,-3.941028649286396e-07,-1.4636703548322411e-07,7.676678991243419e-07,5.161144849143152e-07,-1.2605094424132515e-06,-3.411648661550615e-06,-3.715164945454678e-06,-2.814376776157707e-06,-3.192136569439607e-07,-2.248640913046094e-06,-3.870020081996407e-06,-6.299724966321162e-06,-6.415852072384987e-06
