,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
R2,0.8691230063546374,0.8698488622468911,0.8765394769943876,0.8728893077674778,0.8856396218551907,0.876230647238923,0.8785855085223828,0.8763642345727342,0.8725270247832018,0.8665371409687983,0.8698612255947671,0.8790807537888796,0.8860838139399939,0.8883394223705332,0.8879560220848641,0.8924742925051883,0.903568732921919,0.9058820311115217,0.8970026582358344,0.8934424934304013,0.8847981358651364,0.8825892741541983,0.8753222495186282,0.8740027218663007,0.8639172134881526,0.8615554899022353
MSE,9.276533609170733e-09,9.168963569153008e-09,9.016066929168552e-09,9.09156018458974e-09,8.947804350391941e-09,8.844073418167174e-09,8.789321681825489e-09,9.29329696855019e-09,9.642619839719347e-09,9.79437591233924e-09,9.672002736088456e-09,9.338696466689489e-09,9.160726860620082e-09,9.286288668335368e-09,9.624857444848829e-09,9.34149067457643e-09,8.696638889773754e-09,8.295886422665249e-09,8.280042865400933e-09,8.181558928057214e-09,8.151720711740535e-09,8.270460090159123e-09,8.50237394209146e-09,8.61569059160585e-09,8.943733290119648e-09,9.168538234382779e-09
MAE,4.100488903333612e-05,4.1475625014050875e-05,4.028346718619813e-05,4.1175425499293824e-05,4.213888310090042e-05,4.282093851375957e-05,4.346705804865232e-05,4.3665276868873344e-05,4.2983078923393664e-05,4.328840945685573e-05,4.312703248641591e-05,4.212937801435974e-05,4.0942774370442364e-05,4.27094441390278e-05,4.414006277155706e-05,4.327915205519388e-05,4.248129198353844e-05,4.2926732639863235e-05,4.416135730243615e-05,4.497124623988148e-05,4.6746769407453916e-05,4.6621834231314074e-05,4.790944346440827e-05,4.8260561234632324e-05,5.032967417416707e-05,5.170976276740343e-05
RMSE,9.631476319428259e-05,9.575470520633965e-05,9.495297219765452e-05,9.534967322749323e-05,9.459283456156678e-05,9.404293390875879e-05,9.37513822928787e-05,9.640174774634634e-05,9.819684231032761e-05,9.896653935719507e-05,9.834634073562908e-05,9.66369311737986e-05,9.571168612358725e-05,9.636539144493405e-05,9.810635782072857e-05,9.665138733911909e-05,9.325577134833937e-05,9.108175680489068e-05,9.099474086671676e-05,9.04519702828922e-05,9.028688006427365e-05,9.094206996851965e-05,9.220831818275106e-05,9.282074440342445e-05,9.457131325153335e-05,9.57524842204252e-05
MAPD,4.571666513870741,5.839214394220317,5.692946953784825,5.3608354612981115,5.521315949047848,5.986622096787743,6.458605066046238,5.794616055907487,6.00691519272081,5.261766922446884,5.310129335479367,5.620977278437174,5.098146970498316,5.208076710758623,5.24764510764593,4.986334989875582,4.987101013406413,5.09552301165732,5.0333365851715,5.563618655429298,5.948461967477274,5.991618385134391,5.795164409716437,6.268097981828942,6.555077233693821,7.270993202653915
Bias,-1.7619180410671376e-05,-1.3002984824955554e-05,-1.5204935901757588e-05,-1.5411108395876753e-05,-1.3473317560286167e-05,-1.3682258644138512e-05,-1.5118382276113965e-05,-1.5672950052966306e-05,-1.645328750491884e-05,-1.6148177850235727e-05,-1.4022917625520617e-05,-1.3785139276923053e-05,-1.403043700417236e-05,-1.4832664528808218e-05,-1.5198794161639736e-05,-1.410753204748525e-05,-1.3517708890258185e-05,-1.4928832677657076e-05,-1.8266754667709496e-05,-1.719744923348672e-05,-1.744058733757173e-05,-1.5375129721961713e-05,-1.5969979242814077e-05,-1.862964849702148e-05,-2.0152584840015456e-05,-1.9046332403013955e-05
