,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
R2,0.6737365844142535,0.6765295088453118,0.6740046040337738,0.6762096325880202,0.6908751371127262,0.6859323577798413,0.6887056066739612,0.6828070542281299,0.6724290979745282,0.6683136956138602,0.6701062222005905,0.6733391819918707,0.6787432585163233,0.6858407487595445,0.6883326586478388,0.6985400533935445,0.7337401424194809,0.753140977622084,0.7511051212875469,0.7519496576328171,0.7518438935179315,0.7551707310904205,0.7533549401613666,0.7550219013345008,0.7519713378116935,0.7531350684155594
MSE,1.3479761490656559e-08,1.3344872727941963e-08,1.3309590239062411e-08,1.3320569473510738e-08,1.3052899940344767e-08,1.3071956520779565e-08,1.310361896733215e-08,1.3752665287034675e-08,1.424559715388957e-08,1.4474968223390815e-08,1.4342942780742158e-08,1.4065434993736125e-08,1.3914648269456028e-08,1.4055302834358419e-08,1.4537303715371635e-08,1.4241599061117231e-08,1.2987041524363284e-08,1.2322744096035424e-08,1.2382029348758764e-08,1.2270077720429014e-08,1.2243845869599935e-08,1.2282121568788132e-08,1.2441715742854813e-08,1.2468496765250368e-08,1.2752219833719068e-08,1.2904039415359838e-08
MAE,4.428216360490159e-05,4.5119151211818985e-05,4.4795904565105674e-05,4.61009499542585e-05,4.5037488712322824e-05,4.606980131327244e-05,4.698280669478711e-05,4.760130642120941e-05,4.693876412991386e-05,4.7900628162205397e-05,4.843899157465357e-05,4.8002848470902124e-05,4.6716619551483e-05,4.832715143724546e-05,4.987030883728199e-05,4.9507928696973076e-05,4.7202949039820485e-05,4.6899312735590116e-05,4.793088206365858e-05,4.8657986492375274e-05,5.0162495518185076e-05,4.943365244884541e-05,4.986143874851357e-05,5.000023068225286e-05,5.297928818625918e-05,5.37823912995664e-05
RMSE,0.00011610237504313406,0.00011552001007592564,0.00011536719741357337,0.00011541477147016641,0.00011424928857697438,0.000114332657280322,0.0001144710398630682,0.00011727175826700424,0.00011935492094542885,0.00012031196209600613,0.00011976202562057039,0.0001185977866308479,0.00011796036736741721,0.0001185550624577391,0.00012057074153944495,0.00011933817101463065,0.00011396070166668545,0.0001110078560104438,0.00011127456739416588,0.0001107703828666716,0.00011065191308603722,0.0001108247335606458,0.00011154243920075808,0.00011166242324636506,0.00011292572706748037,0.00011359594805872187
MAPD,3.956370218188926,5.142899042510406,5.4344840947706246,5.459646927010001,5.636349495226627,5.6165507157762535,5.645859249341314,5.794396726586873,5.610662919730257,4.8290444798792,5.715585204182809,5.927210180979083,5.53275447560485,5.546405198068345,5.2460914952372075,5.637353469419762,4.747031109588094,5.02528503135572,5.000504539449193,5.422713703826311,5.323338642280388,5.216376020597178,6.258057178305242,6.037330869172711,6.961137063552079,6.814578910074564
Bias,-1.4476795942522192e-05,-1.1165276414693142e-05,-1.253227429912219e-05,-1.309688382851615e-05,-1.0169969405766857e-05,-1.0519758129276593e-05,-1.2103084850316683e-05,-1.2872235730855068e-05,-1.4186891728301373e-05,-1.4245652963959949e-05,-1.2423769369523964e-05,-1.21213859295889e-05,-1.2360948778912601e-05,-1.3143768099930586e-05,-1.3432256628408746e-05,-1.2068113195144419e-05,-1.1349377464752196e-05,-1.2958145937311611e-05,-1.638762854035984e-05,-1.5509639797994427e-05,-1.6058278895710967e-05,-1.4147625527429158e-05,-1.4489854706842085e-05,-1.6758261266536425e-05,-1.7803194585424104e-05,-1.6870458956006764e-05
