,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
R2,0.8132260102115415,0.8168086750540653,0.8123684353220796,0.815164149744217,0.8165399694039768,0.8178576476681885,0.815976987869937,0.8070066588256597,0.8021985082246119,0.8008283080855401,0.8013197365041959,0.808640688710937,0.8155173799524413,0.8199973637736484,0.8182379619817864,0.826618169714314,0.8467961888151447,0.8617172663567265,0.8614984319322525,0.8617306141673408,0.8600999735103836,0.8584215740074882,0.854050538215505,0.8547343858751628,0.8495635283203768,0.8439763797791635
MSE,7.716675283640763e-09,7.557613393233714e-09,7.660535310247088e-09,7.604051980319934e-09,7.746660686092188e-09,7.581032205173565e-09,7.746260401315698e-09,8.367691839231855e-09,8.602108278993197e-09,8.691959460902196e-09,8.638112758573508e-09,8.239592277380048e-09,7.990527320715882e-09,8.053213627020609e-09,8.478045659619042e-09,8.190920681860614e-09,7.472640733861796e-09,6.902817337490716e-09,6.890179860410902e-09,6.8396443009593396e-09,6.902567846403509e-09,7.102432839432731e-09,7.362246450560815e-09,7.393492927262729e-09,7.734585756911973e-09,8.155613404199304e-09
MAE,4.353231726322096e-05,4.1816598211384624e-05,4.268724325056846e-05,4.2270463721293054e-05,4.3121649747795067e-05,4.341244110911203e-05,4.509646483429264e-05,4.708201160308714e-05,4.5452899469125624e-05,4.556225803453281e-05,4.660862407671595e-05,4.575129923465716e-05,4.539139247067171e-05,4.6184117430792755e-05,4.775090116180166e-05,4.6840416062477316e-05,4.44870149339212e-05,4.251313714140557e-05,4.2956824974533606e-05,4.4260459319522046e-05,4.435792338013661e-05,4.584117172164322e-05,4.630856497072168e-05,4.49322763723102e-05,4.70578640018827e-05,4.8714571448073534e-05
RMSE,8.784460873406383e-05,8.693453510103861e-05,8.752448406158752e-05,8.720121547501464e-05,8.801511623631584e-05,8.706912314462323e-05,8.801284225222872e-05,9.147508862653184e-05,9.274755133691237e-05,9.323067875384259e-05,9.29414480120334e-05,9.077219991484204e-05,8.938974952820867e-05,8.973969928086793e-05,9.207630346413262e-05,9.050370534879007e-05,8.6444437263839e-05,8.308319527732859e-05,8.300710728853827e-05,8.270214205786534e-05,8.308169381039068e-05,8.427593274139854e-05,8.580353402139574e-05,8.598542276027215e-05,8.79464937158496e-05,9.030843484525299e-05
MAPD,5.158211680147381,5.206026955963365,5.29227932736521,5.465373148468021,5.100994140838234,5.628788935513464,6.064323602186874,5.958439389903892,6.4625222948218015,6.143813863075854,6.173585656403156,5.940034666478754,5.320295345931664,5.607775686918782,5.5374833374224615,6.047849267462798,5.854182900514607,5.438989949917924,5.000666772107644,5.229179124108793,5.065890707012406,5.803457395120091,5.606272855382034,4.212240853041235,4.976121085444582,5.756482639620427
Bias,-1.1105743091085199e-05,-8.915888732155104e-06,-1.0297685898545248e-05,-1.1077013009656224e-05,-9.377986192439815e-06,-9.650150179607093e-06,-1.0660863930925754e-05,-1.1374773185077357e-05,-1.2092089961242822e-05,-1.2246527819071577e-05,-1.0261178290047247e-05,-9.901508499566536e-06,-1.0166629478777658e-05,-1.1084929248619927e-05,-1.1358452293988873e-05,-1.0162613148958857e-05,-9.940417648053026e-06,-1.148800941122069e-05,-1.5336891833380447e-05,-1.563382406812723e-05,-1.6971543954528837e-05,-1.539889370290595e-05,-1.6130501217249138e-05,-1.813330290535889e-05,-1.9042211647268072e-05,-1.853721137492951e-05
