,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125
R2,0.7139931424574308,0.7152993567201804,0.7429722698791923,0.7401379189479795,0.65332946507481,0.6309535947466431,0.6193509983721075,0.6170069042137001,0.6534929222766519,0.6551158015539912,0.6102759097691883,0.6063729902848267,0.6232686850377288,0.7046349824190234,0.6928431731589393,0.7435946298800153,0.745711220005939,0.7348269166032634,0.6979524212998236,0.6956073018789104,0.700230247089091,0.7198610074875678,0.6716336329211312,0.7216108568114779,0.7675015617902102,0.7641010572277351,0.7576218720153822,0.765161987467538,0.7800505630353214,0.8165476926607262,0.7812040323145429,0.7965273002065958,0.8079964373821733,0.7958244929999023,0.7971244083184108,0.808002261676639,0.8185210481032583,0.8256535446768895,0.8401196830004128,0.8502399160050228,0.8581279234926028,0.849933914331618,0.8539941581067034,0.844897252670203,0.8401505540028462,0.8498593925456894,0.8232218329660397,0.8150289612048573,0.7825432504371609,0.7812509652905936,0.807621631401841,0.8125309493100816,0.8192206328192484,0.8134603279797343,0.7958777513169213,0.8059822877000896,0.802060622485899,0.7852563630162939,0.7809212185616548,0.780673384632222,0.7838146625697588,0.7749849915788145,0.7594407147641942,0.7560986981688004,0.7600205290875754,0.7487176547546468,0.735465511423885,0.7135057748304504,0.7230244077649993,0.7348012270036215,0.7374077681585409,0.738944080632101,0.7370201387058939,0.7398848657221471,0.7465040962174043,0.7683226265664631,0.7587554194642138,0.7512050610529766,0.7482573309574682,0.7507845862070027,0.7663403813395046,0.7630076343579667,0.7505584289630953,0.7433403772630622,0.7340191590740882,0.7212068374757307,0.7082948697557739,0.7004707339709025,0.6928413494317296,0.6990832095960806,0.7045930199866387,0.7076469203086062,0.7195930896628688,0.7105948779778863,0.716967348493952,0.7197706330950009,0.7207040558648887,0.7186481252523541,0.7143432728501315,0.7045038709880109,0.6957360579869591,0.6953013338721064,0.6939045378999252,0.6927089938621531,0.692080785690047,0.6941888756163109,0.6882194094063457,0.6787112543003482,0.6735878584559971,0.6753233370996252,0.6657923092141997,0.6636529541707126,0.6609647023107728,0.651204470039892,0.6441044547739772,0.6434996672562343,0.6463800287990327,0.6471967814096709,0.6439191103009175,0.6478846371417177,0.6383015388511961,0.6373565610406147,0.6338651617320636,0.6353041813586433,0.6238853229835906,0.6312245817577538
MSE,4.855000189853923e-07,4.76297144086175e-07,4.643344113833958e-07,5.290654821072913e-07,8.552165003973378e-07,1.0366656672963813e-06,1.0704727779275805e-06,1.0674844516203807e-06,9.326939450061723e-07,8.07972695176155e-07,9.117300949182166e-07,8.055931070013689e-07,6.119190517084839e-07,2.9746525801909967e-07,2.583776629516184e-07,1.9466707419407728e-07,1.8833674948692228e-07,1.8189788479441903e-07,1.9510533133134498e-07,1.959817806956542e-07,1.7977182719472823e-07,1.468692487690795e-07,1.3494908470292685e-07,1.0239829105634329e-07,7.557747811670432e-08,7.309435388689216e-08,7.037083780184766e-08,6.130025218471703e-08,5.1947772072106025e-08,3.8081473423801464e-08,4.2817067508023644e-08,3.822008199889906e-08,3.4121864621775946e-08,3.550872772618331e-08,3.3748200958283065e-08,2.8129036772609272e-08,2.3215243172742057e-08,2.0291406897025272e-08,1.7674471111061694e-08,1.5864618862951407e-08,1.474882679782099e-08,1.492922353091428e-08,1.3813827664564109e-08,1.4127401385192461e-08,1.35994312596779e-08,1.1510327439060986e-08,1.1923036277562991e-08,1.0964560427292472e-08,1.337118556838578e-08,1.2962973454918556e-08,1.0416467540860352e-08,9.548153337399896e-09,8.359310209245408e-09,8.445936105598563e-09,9.05009065342449e-09,8.039236436971184e-09,8.074994035588155e-09,9.546224742187962e-09,9.729868888843762e-09,9.471298736398358e-09,9.06314285279519e-09,9.385951336534387e-09,9.881678243569641e-09,9.960832181144544e-09,9.617382225440345e-09,9.95770321320519e-09,1.060143497238856e-08,1.119084693106215e-08,1.060405870570749e-08,9.932555807545516e-09,9.659865847882897e-09,9.762618352499025e-09,9.55047434042298e-09,9.030868496583239e-09,8.636279365922442e-09,7.781775701739655e-09,8.235434088496446e-09,8.469787821353639e-09,8.779091929151569e-09,8.708827636395537e-09,7.59029939731083e-09,7.674084747300133e-09,7.958998477372348e-09,7.853042567045107e-09,7.760129413121786e-09,7.87870947498979e-09,7.960670046550993e-09,8.056965678940825e-09,8.066669605688987e-09,7.845193871779717e-09,7.598204195277092e-09,7.4387318306304155e-09,7.061211107747254e-09,7.49621849052686e-09,7.3303417206273995e-09,7.2422091796131926e-09,7.1436153476507714e-09,6.838427163849508e-09,6.773764904269993e-09,6.8140490937183455e-09,6.9389048937531754e-09,6.873477188771758e-09,6.948391948817935e-09,6.840257090297282e-09,6.991799437917312e-09,6.891287215148864e-09,6.903676118769497e-09,7.107417743037384e-09,7.330452297928506e-09,7.378437029621585e-09,7.89476770717684e-09,7.997865713638303e-09,7.986488106432967e-09,8.189353109612532e-09,8.215652690788645e-09,8.226098914704884e-09,8.044717603922043e-09,7.965026597807347e-09,8.277532504645932e-09,7.841496905831752e-09,8.067502943765226e-09,8.092158798517836e-09,8.213357686990984e-09,8.1196095190404e-09,8.464133586464199e-09,8.271120072845636e-09
MAE,0.00028115728860053017,0.00026676852011420585,0.0002820225373718172,0.0002892990911710903,0.0003303596780412688,0.0003466190514640889,0.0003477929818947284,0.000358878864538994,0.0003681815028655455,0.00037574501005569665,0.0004082929666977994,0.0004059148509337133,0.0003730409562249782,0.0003375597663872446,0.0003386354017131962,0.00029558387210039844,0.00027563494113624947,0.00025633596069518275,0.0002726647900516219,0.0002699267573090366,0.0002541065004811967,0.00023625777495643282,0.0002159145946213052,0.00019290275139193799,0.00016879616926655317,0.0001606186567520832,0.00016268634066032405,0.0001515792097728782,0.00014202592497675583,0.00012867065979654726,0.00013029588793716127,0.0001229794501311952,0.00011781203759463127,0.00011625000706406605,0.00011403951763082195,0.00010684874356130872,9.793267402479401e-05,9.315238664334533e-05,8.396223348884517e-05,7.793996672684075e-05,7.507135261333596e-05,7.640791861960061e-05,7.6533975111141e-05,7.742949990439646e-05,7.650216405813888e-05,6.90188087284071e-05,6.327756635653538e-05,6.016459202790743e-05,6.278704746292066e-05,6.32047319080106e-05,6.025411585841244e-05,5.8475445628020235e-05,5.5728952773851764e-05,5.729195092527563e-05,6.032800955160407e-05,5.881094666210443e-05,5.983218597272671e-05,6.258169402715498e-05,6.162311526593169e-05,5.912772979511019e-05,5.647601629956893e-05,5.8356438147896316e-05,5.99687525261701e-05,6.0229850300659095e-05,6.091622158382009e-05,6.054283895742013e-05,5.985945115716688e-05,6.255055667686449e-05,6.115634520405013e-05,5.954791760335396e-05,5.7393977117800636e-05,5.467919460213626e-05,5.304135407398664e-05,4.928077482598288e-05,4.7081554238832684e-05,4.5242871574027724e-05,4.866278239719315e-05,4.8153796863858297e-05,4.911681460727145e-05,4.927856954693372e-05,4.5933711577892755e-05,4.6437559607015704e-05,4.8826431975056037e-05,4.8165958839251064e-05,4.4985012727738226e-05,4.574927501933281e-05,4.493399927024466e-05,4.531118527342799e-05,4.655262228817387e-05,4.8161095907451504e-05,4.6298424773824746e-05,4.536823009355536e-05,4.395700330215085e-05,4.635522137126052e-05,4.4628881398219086e-05,4.4338549726700116e-05,4.3435460342326216e-05,4.266496315938605e-05,4.1087331712439744e-05,4.0883271189880144e-05,4.084699502232465e-05,4.0268318849118937e-05,4.1632011765194034e-05,4.0857844929141e-05,4.102136979194337e-05,3.984403145205415e-05,3.945004068804196e-05,4.074746587839233e-05,4.0711312727709096e-05,3.918131413699346e-05,4.2565662045256565e-05,4.366231334387111e-05,4.35561321343357e-05,4.56737108525749e-05,4.579037925470602e-05,4.588985386838178e-05,4.519332777480484e-05,4.540673120841721e-05,4.6554817350509684e-05,4.472689663129801e-05,4.615798690901844e-05,4.577940107492667e-05,4.691955050511895e-05,4.5193033733357564e-05,4.691355796123426e-05,4.607485145013917e-05
RMSE,0.0006967783140894902,0.0006901428432478126,0.0006814208768326634,0.0007273688762294489,0.0009247791630423653,0.001018167799184585,0.0010346365438778878,0.001033191391572917,0.0009657608114881098,0.0008988730139325327,0.000954845586950171,0.000897548386997252,0.000782252549825492,0.0005454037568802581,0.0005083086296253669,0.000441210918035895,0.00043397782142284906,0.0004264948824949943,0.0004417072914627344,0.00044269829533854566,0.0004239950792105119,0.0003832352394666747,0.0003673541679400505,0.0003199973297643955,0.0002749135829978292,0.00027035967503844237,0.00026527502295136583,0.00024758887734451445,0.00022792053894308433,0.00019514474992630846,0.00020692285400125245,0.00019549957032919296,0.00018472104542194411,0.00018843759637127434,0.000183706834272117,0.0001677171332112771,0.00015236549206674738,0.00014244790941612753,0.0001329453688966325,0.0001259548286607203,0.00012144474792192945,0.00012218520176729373,0.00011753224095780744,0.00011885874551412893,0.00011661659941739812,0.00010728619407482487,0.00010919265670164359,0.00010471179698244354,0.00011563384266029466,0.00011385505458660391,0.00010206109709806353,9.771465262385113e-05,9.142926341847782e-05,9.190177422443249e-05,9.513196441483004e-05,8.966178916891623e-05,8.986097059117576e-05,9.770478361977965e-05,9.8640097773896e-05,9.732059769852607e-05,9.520054019171945e-05,9.688111960817952e-05,9.940663078270805e-05,9.980396876449626e-05,9.806825289277028e-05,9.978829196456461e-05,0.00010296327001600406,0.00010578679941780141,0.00010297601034079487,9.96622085223156e-05,9.828461653729386e-05,9.88059631424087e-05,9.772652833505843e-05,9.503088180472303e-05,9.29315843291313e-05,8.821437355521862e-05,9.074929249584508e-05,9.203145017521803e-05,9.369680853236982e-05,9.332109963130276e-05,8.712232433372535e-05,8.760185356087013e-05,8.921321918512048e-05,8.861739426909995e-05,8.809159672251256e-05,8.876209480960772e-05,8.92225870873009e-05,8.976060204199182e-05,8.981464026365071e-05,8.857309903000863e-05,8.716767861585561e-05,8.624808305481586e-05,8.403101277354245e-05,8.658070507062679e-05,8.561741482097786e-05,8.510117025995114e-05,8.451991095387389e-05,8.269478317191181e-05,8.230288515155463e-05,8.254725370185459e-05,8.330008939823039e-05,8.290643635310685e-05,8.335701499464778e-05,8.270584677214352e-05,8.361698055967647e-05,8.301377726105989e-05,8.308836331743151e-05,8.430550244816398e-05,8.561806058261601e-05,8.589782901576491e-05,8.885250535115394e-05,8.943078728065801e-05,8.936715339783945e-05,9.049504466882445e-05,9.064023770262656e-05,9.069784404661934e-05,8.969234975136979e-05,8.924699769632224e-05,9.098094583288268e-05,8.855222699532605e-05,8.981927935451958e-05,8.9956427221838e-05,9.062757685710782e-05,9.010887591708378e-05,9.200072601052775e-05,9.094569848456625e-05
MAPD,8.43113965458963,7.453457629338341,6.623501091708377,6.2729856683224074,6.745337386984603,7.335728971494694,6.789076594597643,7.081763660689695,9.367294711648551,10.947495027986875,12.709621803498905,14.129814543693477,12.730205495764396,13.492037624205839,12.556689015036746,13.785764112039061,12.850438366630385,11.633346059716123,13.675490636708364,12.775530492366732,13.280307997325046,14.647648615618202,14.311108467301514,14.85421267732026,12.436018807363832,12.5788008195037,11.917841762485667,11.880417513082369,11.428594132727572,12.087793870797016,11.599576352920637,11.420409156614229,12.553668530353262,11.234278594089053,9.993206252648726,9.590149767346531,7.927025920100898,8.144350167514272,7.537896122635111,6.689256939342274,6.485747430357482,6.117480679002357,8.56772269914905,7.897762336535233,8.933331954413433,8.744568506261233,6.2735214767181455,5.710417987876988,6.001228897664376,6.437860638880771,5.19617246926261,6.083110002136407,5.135727940357223,5.8440490826309155,6.382124934149733,7.0880561172251015,7.868220593668617,7.843416716094555,5.548980789112392,5.426693096540829,5.867145232758888,5.95022645523645,6.541660066800558,6.956162897841114,7.727286963981994,6.671988188611191,7.795551642630724,8.128432794156215,8.946809461084836,7.645240693853609,7.9635042199990655,6.959716473586253,6.367517336020126,4.923858605758201,4.059622223779788,4.318398913860977,4.654833810797472,4.714115181495307,4.901648488537309,5.2005480342766965,4.983358865006975,4.536714021325597,5.239837860750439,5.135493696728968,4.533693094251145,5.564989908864714,4.89478934981751,5.098095590815268,5.339985485281538,6.024271741568373,5.144404634402499,5.199730227018327,5.29467480448727,5.424172575138552,4.871551765401952,5.233334260314409,4.923863411508222,6.181538507914423,5.978791728331422,5.399905023205819,5.24749004150284,5.5867978451994125,5.898349927205778,5.825848109980653,5.420604090859637,4.093339771385253,4.423142629558861,4.77250420632042,4.284145733917011,3.431721436361924,3.7872938070974893,4.395958744511917,4.235377893851766,5.234091182319049,4.721542778321137,5.119474936835341,4.85476024935803,4.781253450685435,4.3656456779241255,5.139908440834461,5.9426590565722766,4.996025087876239,6.148507591186118,4.807134137598086,5.560267289036809,4.933584508228896
Bias,-0.0001009949648620965,-8.788498655073485e-05,-9.34103953452682e-05,-0.00010325384307244139,-0.0001565887532689906,-0.00016096154225040313,-0.00016734226983077284,-0.0001873092153835537,-0.000188524360457434,-0.00020370617250139167,-0.0002051482234722751,-0.00016758000868029362,-0.0001165621807603503,-3.392438560666405e-05,-4.219808849113534e-05,-6.994615227916134e-05,-6.699679581322008e-05,-5.9831574467505355e-05,-5.243230402613466e-05,-5.777859214400285e-05,-4.267298042226216e-05,-2.2365255803887313e-05,-1.1664403856065779e-05,-1.566984897666338e-05,-2.2971236894184828e-05,-2.613722245379733e-05,-4.0664150600678794e-05,-3.873037364305279e-05,-3.310425441629559e-05,-2.1020241357339342e-05,-2.2210501052957963e-05,-2.365405251688662e-05,-2.1521930529717316e-05,-2.1415974652897026e-05,-1.716222504034885e-05,-1.2537516052469829e-05,-1.4206080457122719e-05,-1.204422550947232e-05,-5.670216493785883e-06,-5.112859936665868e-06,-7.852954296528434e-06,-1.0819812677409789e-05,-1.2352246896117728e-05,-1.4017443409538948e-05,-1.016752317086549e-05,-2.4453208373264806e-06,-4.280987287708478e-06,-3.7694932380199967e-06,-9.64021179292952e-06,-8.354069365922182e-06,-3.85305872976585e-06,-3.3081360106013355e-06,-5.67503584901425e-06,-5.827373630142525e-06,-2.581728490824512e-06,3.274465569032404e-08,-3.2993581059749055e-08,-1.6290813401838179e-06,-2.9130106313603333e-06,-2.0105941215414197e-06,-4.0323263793124505e-06,-6.81550727759631e-06,-7.122111771583445e-06,-9.672452968507483e-06,-7.68598618995196e-06,-9.568990771328263e-06,-1.2856778738793914e-05,-1.0387890044875389e-05,-9.266336836851228e-06,-6.577778493796215e-06,-5.355084277452009e-06,-5.857411908280526e-06,-8.430913579597361e-06,-1.0394608579208016e-05,-1.304841012594738e-05,-1.2295630415978958e-05,-1.356631501653043e-05,-1.4162997692998623e-05,-1.4234034098454205e-05,-1.3958861716032427e-05,-9.843826138265518e-06,-9.249672623460997e-06,-8.890215341568356e-06,-1.00314061538386e-05,-1.2131452601333808e-05,-1.219776985589514e-05,-1.2197694517124342e-05,-1.2882775904153252e-05,-1.3270629493420474e-05,-1.3538554283682813e-05,-1.264577861686108e-05,-1.1891095836910827e-05,-1.4807859787858225e-05,-1.6193478475938075e-05,-1.8118985898238836e-05,-1.925055795140233e-05,-1.820863628295134e-05,-1.7202505629584513e-05,-1.4841579749663987e-05,-1.689182249588901e-05,-1.8283079642181434e-05,-1.9624271189779638e-05,-1.770616166313988e-05,-1.798104036818217e-05,-1.724326457882391e-05,-1.7707797578875803e-05,-2.1201674542620686e-05,-2.107238148556843e-05,-2.25172433343877e-05,-2.0719445895639377e-05,-2.1736766684999653e-05,-2.2609232613082265e-05,-2.2525302316485538e-05,-2.22257421335944e-05,-2.187920606702685e-05,-2.2581295229781278e-05,-2.1215856957964242e-05,-2.0801198586245595e-05,-2.005173725602435e-05,-2.143750747582983e-05,-2.0733924877002027e-05,-2.0486576677484872e-05,-2.1081130206548458e-05,-2.093593971798547e-05,-2.2043504942203974e-05,-2.1614048823377002e-05
