,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125
R2,0.7765948690950851,0.782826323895013,0.7790596750646147,0.7818431945470823,0.7923251032732394,0.7917365157341084,0.7923816362842486,0.7854882245041046,0.7793779268541469,0.7763443799630343,0.7826407594358221,0.7912155283520177,0.7951312921276681,0.7982549532930175,0.7989982201559265,0.8086817788681103,0.8316234492312534,0.8456285511122122,0.8442843969517251,0.8437845689365849,0.8379644688136525,0.8395600615330183,0.8388440322055375,0.8383175590935316,0.8336205874042373,0.8311667960670188,0.8387538198634883,0.8350443218068548,0.8316715447195209,0.8327804621162085,0.8443206291821579,0.8414010902082188,0.8423303588422253,0.8451453506594199,0.8547107897343567,0.8511693798593283,0.847643368205683,0.8511888943329116,0.8591547339122615,0.8612659251352518,0.863381163952265,0.8695500748143269,0.8686098582279567,0.8659810960425048,0.8686362194357672,0.877747555301731,0.8879599510732125,0.8936499848128637,0.8947999477034801,0.8919297389853708,0.8959586736747412,0.8941754479518201,0.8882125523979356,0.8811921829246123,0.8823222778753159,0.8780567813201362,0.8848957662170428,0.8925935023830673,0.8951027162157565,0.896894694834359,0.891682961778535,0.8948264772056334,0.9079174807233334,0.9163574101929423,0.9212786007337243,0.9254697502434456,0.9283263452412234,0.9259456349341354,0.9196501066069518,0.9179118023973958,0.9166289786890918,0.915697495268794,0.9225839532252071,0.9247778779283063,0.9231116415818996,0.9102065360815459,0.9052791157240301,0.9033919178189735,0.9086840281533038,0.9180438018503975,0.921724614703755,0.9185748858403503,0.9199965957260163,0.9171840806386444,0.9175360944962474,0.9253437981506218,0.93568096203692,0.9330671700894614,0.9361972504340885,0.936616584999814,0.92854591595667,0.9251317955090902,0.9200493441794765,0.9173707156102675,0.9326968025104027,0.9320584873000736,0.9341135188847525,0.9480770758152974,0.9472484220555811,0.9457232667018926,0.949964839489218,0.9488452170521852,0.9482304319373073,0.9462288441836532,0.9490645902768995,0.9638012903119921,0.9672731302904968,0.9636219898819907,0.9599162077545903,0.9558635812991683,0.9499813411221867,0.9479998161254418,0.9526629605313487,0.9532583038836026,0.952515600625622,0.9519425894252987,0.9498507676292135,0.9459538567885063,0.9489313753667666,0.9605380472495422,0.9655909687660151,0.9701010286716485,0.9669443330676305,0.9667459614232115,0.9690386404154506,0.9693472519040107
MSE,9.230112039931457e-09,8.959565545329462e-09,9.020450069423487e-09,8.974858969344497e-09,8.76914144587701e-09,8.668232078748841e-09,8.739482583301058e-09,9.30067546535016e-09,9.594543220592262e-09,9.76045121612543e-09,9.45022719456442e-09,8.989888752415839e-09,8.873513434445021e-09,9.02595647144601e-09,9.375457525470688e-09,9.03827333985268e-09,8.212703471087434e-09,7.705936133321567e-09,7.74654415140018e-09,7.727364784044792e-09,7.994717911113541e-09,8.048640742656135e-09,8.129320501595162e-09,8.229049871893685e-09,8.554280890389138e-09,8.825191590355431e-09,8.563716838972058e-09,8.789866561144205e-09,8.931894848837665e-09,8.84446413641681e-09,8.114376564809912e-09,8.250400375575596e-09,8.106074722503608e-09,7.838373377313187e-09,7.46388709853661e-09,7.741069525442478e-09,7.834038519867929e-09,7.658597574809424e-09,7.202565206496181e-09,6.983411290786358e-09,6.809381292227765e-09,6.415188304086022e-09,6.467943280000711e-09,6.589543510672229e-09,6.475468469983586e-09,5.97046336954774e-09,5.340746383935784e-09,4.883167198205272e-09,4.664932616513422e-09,4.6719202891287794e-09,4.3340110316751316e-09,4.244674158229385e-09,4.341245171156831e-09,4.471379885987475e-09,4.259526224070257e-09,4.3428294645284404e-09,4.066235804287954e-09,3.74253871698062e-09,3.646353880024195e-09,3.6000791129910816e-09,3.761861274228027e-09,3.55413273130102e-09,2.983978858522484e-09,2.6323555410972156e-09,2.4005553825733183e-09,2.208797331771671e-09,2.06218691388639e-09,2.0922836698087593e-09,2.2345408746352025e-09,2.229145236281407e-09,2.2549057150358166e-09,2.254160374638919e-09,2.0107205883455496e-09,1.8767795445648353e-09,1.8397794077055237e-09,2.146100140021327e-09,2.1819747311659407e-09,2.114773562271357e-09,2.001784534670062e-09,1.8180891222789193e-09,1.7468801588576493e-09,1.8045280272784109e-09,1.7529463647873644e-09,1.8237762772331527e-09,1.7879506197379927e-09,1.5481653705044409e-09,1.306327131834447e-09,1.3528474910630006e-09,1.2790638990387317e-09,1.2574765782192708e-09,1.389445707748633e-09,1.4189381018858867e-09,1.482942414861684e-09,1.5215834339576361e-09,1.233343192192334e-09,1.2727494621167133e-09,1.2209698717357196e-09,9.532185569849653e-10,9.73974116449029e-10,9.819850115293287e-10,9.047383935798296e-10,9.281886815573936e-10,9.300221247102256e-10,9.684772492821444e-10,9.236228015336982e-10,6.552573300137761e-10,5.909884417637744e-10,6.557454053259326e-10,7.150188544662034e-10,7.895135254883458e-10,8.93657783644447e-10,9.229215656020103e-10,8.504047185475837e-10,8.341195131647323e-10,8.447776652422637e-10,8.347976028987999e-10,8.544023960612312e-10,9.182548522670464e-10,8.848277210820821e-10,6.90214109672592e-10,6.056315419731709e-10,5.468516375311006e-10,6.171393083671586e-10,6.198780200810345e-10,5.667903850614083e-10,5.60209985075151e-10
MAE,4.278418894287375e-05,4.306368602600669e-05,4.2425843299281576e-05,4.3562658622791865e-05,4.3704901285468296e-05,4.460988737377988e-05,4.471951713382435e-05,4.539188147309977e-05,4.515170619081646e-05,4.599590145436732e-05,4.5694697936723016e-05,4.470351776217361e-05,4.49027733763599e-05,4.6200532535171706e-05,4.771253682729729e-05,4.764879308793417e-05,4.4077651661324876e-05,4.417505963757296e-05,4.504705787901585e-05,4.592417992533382e-05,4.8076574439791204e-05,4.7103318068653934e-05,4.775481915192135e-05,4.7329932278325895e-05,4.778744603521879e-05,4.748516778839922e-05,4.483586087630801e-05,4.315189917716628e-05,4.2998016796922086e-05,4.3278622448261914e-05,4.247994467700383e-05,4.370557492667534e-05,4.485861160812791e-05,4.515647784004097e-05,4.4220689864300125e-05,4.4242045527652084e-05,4.352433602070366e-05,4.398424945081151e-05,4.2419140243517816e-05,4.3875619044565035e-05,4.2289910424593876e-05,4.2140147592200085e-05,4.277839669525359e-05,4.3720374633985795e-05,4.2576603924991295e-05,4.0686781156217087e-05,3.823124300531953e-05,3.763475705911103e-05,3.865585399502333e-05,3.872228428578413e-05,3.988020363450188e-05,4.047421677979754e-05,4.0105589008143796e-05,4.205608825397947e-05,4.0958953694295096e-05,4.0686551621355334e-05,3.8801802891851694e-05,3.6920672759334616e-05,3.694287187148095e-05,3.642446069668395e-05,3.734954552608836e-05,3.9370943877562004e-05,3.672995797627548e-05,3.6027435366573744e-05,3.519843033511293e-05,3.413839418385206e-05,3.4213656094655864e-05,3.525280427095678e-05,3.608398319236181e-05,3.473893064702181e-05,3.5061309875845844e-05,3.33967642721612e-05,3.191973685169142e-05,2.8910803189333337e-05,2.8665013222984757e-05,3.13366719202422e-05,3.171855816204036e-05,3.3241367693526006e-05,3.329755173254031e-05,3.1477199560652315e-05,3.1374873410728854e-05,3.2234680571086056e-05,3.125001404158466e-05,3.147747666416777e-05,3.0695486634967196e-05,2.8552646203690327e-05,2.7706389535734237e-05,2.710572792281859e-05,2.6997256431318392e-05,2.606154032574708e-05,2.6786435628743725e-05,2.694242301080402e-05,2.7523165175188127e-05,2.7977695290613983e-05,2.5524956227966185e-05,2.496427332984444e-05,2.467907317000884e-05,2.2276665749463897e-05,2.2188891173288385e-05,2.280752829057498e-05,2.3073507705698887e-05,2.3767087212155484e-05,2.3580768768981438e-05,2.3733334960136557e-05,2.315648229876349e-05,2.058136632526973e-05,1.909581928947179e-05,2.0342559473318343e-05,2.11046706932675e-05,2.1958934471945678e-05,2.3547817321842564e-05,2.2789620510764168e-05,2.2725220734094106e-05,2.2248355996062003e-05,2.2116227075420356e-05,2.1473761065304398e-05,2.1260821185645623e-05,2.2375064822097205e-05,2.1414899295717628e-05,1.9982222401294964e-05,1.9091105913828825e-05,1.8309919299416996e-05,1.8579132169821585e-05,1.8663201908059137e-05,1.829963795052831e-05,1.791478002452677e-05
RMSE,9.607347209262012e-05,9.46549816191914e-05,9.497604997799965e-05,9.473573227322675e-05,9.364369410631455e-05,9.31033408570758e-05,9.348519980885241e-05,9.644000967103932e-05,9.795173924230372e-05,9.879499590629796e-05,9.721227903184052e-05,9.481502387499483e-05,9.419932820591143e-05,9.500503392687153e-05,9.682694627773142e-05,9.506983401612037e-05,9.06239674208067e-05,8.778346161619264e-05,8.801445421861219e-05,8.790543091325355e-05,8.941318644983827e-05,8.971421705981798e-05,9.016274453229096e-05,9.071411065481315e-05,9.248935555181006e-05,9.39424908673143e-05,9.254035248999248e-05,9.37542882280283e-05,9.45087025031963e-05,9.404501122556587e-05,9.007983439599516e-05,9.08317145911911e-05,9.00337421331781e-05,8.853458859289508e-05,8.639379085638395e-05,8.798334800087161e-05,8.851010405523161e-05,8.751341368504272e-05,8.48679280205201e-05,8.356680735068414e-05,8.251897534644843e-05,8.009487064778882e-05,8.042352441916925e-05,8.117600329329e-05,8.047029557534622e-05,7.726877357346718e-05,7.308041039797043e-05,6.987966226453354e-05,6.830031197961999e-05,6.835144686931492e-05,6.583320614762076e-05,6.515116390540836e-05,6.588812617730778e-05,6.686837732431881e-05,6.526504595930549e-05,6.590014768214439e-05,6.37670432456136e-05,6.117629211533353e-05,6.03850468247247e-05,6.000065927130369e-05,6.133401400713986e-05,5.961654746210166e-05,5.462580762352611e-05,5.1306486345268426e-05,4.899546287742691e-05,4.699784390556306e-05,4.541130821597622e-05,4.574148740267154e-05,4.727093054547586e-05,4.721382463094265e-05,4.748584752361293e-05,4.747799884829729e-05,4.4841059179568336e-05,4.332181372663009e-05,4.289264980979286e-05,4.632602011851792e-05,4.671161238028442e-05,4.5986667222917524e-05,4.474130680556908e-05,4.263905630145817e-05,4.1795695458475736e-05,4.247973666677338e-05,4.186820231138858e-05,4.270569373319151e-05,4.2284165118138404e-05,3.934673265348015e-05,3.614314778536102e-05,3.678107517546219e-05,3.576400283859081e-05,3.5460916206709475e-05,3.727526938532615e-05,3.766879480267303e-05,3.850899135087394e-05,3.9007479205373375e-05,3.51189862067847e-05,3.567561439017853e-05,3.4942379308451786e-05,3.0874237755529534e-05,3.120855838466476e-05,3.133664008041272e-05,3.007886955289094e-05,3.04661891538373e-05,3.0496264110710767e-05,3.112036711355032e-05,3.0391163214554625e-05,2.5597994648287903e-05,2.4310253839969964e-05,2.5607526341408545e-05,2.6739836470446178e-05,2.8098283319241156e-05,2.9894109514157585e-05,3.0379624184673686e-05,2.916169951404725e-05,2.888112728348276e-05,2.906505918181251e-05,2.889286422109791e-05,2.9230162436449636e-05,3.0302720212334838e-05,2.974605387412055e-05,2.6271926264980877e-05,2.4609582320168926e-05,2.3384859151406077e-05,2.4842288710325355e-05,2.489734965977372e-05,2.3807359892718225e-05,2.3668755461053524e-05
MAPD,5.581128896354318,6.92688110292753,6.898355613324964,6.107424990615141,7.268530108369991,6.845860992812466,6.907008491977701,6.841707457168143,6.5491918960493365,6.681812182194202,6.325448418566089,6.00622308972747,5.476539118195937,5.670314973460507,5.468230890687729,6.153065705617532,5.890182337249652,6.09863170612234,6.014251433689599,6.561556755220921,6.187048704752217,5.514186129577386,6.08656714267698,5.864276125716157,6.159034689316505,5.8277125882096215,5.488528827334172,4.559948829615881,4.0595620572911635,4.179008676988504,4.301561214707348,3.773670880260932,4.649755374463664,4.828645068138863,5.170135115433097,4.515387658626651,3.8982048229562647,3.9568375073555524,4.241861991511613,4.719406453803055,4.486062509828771,4.705791172115847,4.135074710692117,4.588971419486647,4.39917128027447,4.037545543527518,3.966260678579011,3.8015659725701347,3.9900767173066574,3.4586013162473903,5.198680286506523,5.047351691689837,4.40073395045931,5.146125539869096,4.91893920553702,4.988330302957273,4.810759617336973,4.293346512635037,4.345811784677092,4.4104023996102315,4.4387903437115535,4.580317930480173,4.724145872573838,5.389610995589236,4.332579611224915,5.386059026102128,6.368981828977641,6.236155448341425,6.703594823209567,5.130342393617283,5.74523621506524,5.761390024695764,5.400934719717002,4.365166934280101,4.510602516982935,4.586976369651674,4.327789514653597,5.151725970805156,6.218032124104749,5.92629417294148,5.617274429194316,6.686053487268098,5.613060754975959,5.435051890141815,5.5710282129629425,5.228696966585593,5.815564181747474,5.451486394515113,5.190406475902915,5.5188923640498455,5.385240013878063,5.847219642620971,6.8839194669586945,6.76577491075013,5.970644809044632,5.652456837837366,5.285825600759284,4.64115597508759,4.6071038193153315,5.052052318577792,5.2887013145887245,6.376031407013433,5.8983390183746955,5.821302055624539,7.420413401184992,6.410966325679213,5.518135053330095,6.1849866682007155,5.8779557330882675,5.650269566863839,6.827648652808517,6.188118226646444,6.534380386503395,6.479697272066902,5.740619539822664,5.79276682889639,4.982756706959472,5.446642322120107,4.938216136022669,5.306129776516008,5.664626684564725,4.918916086505371,4.425001243004818,4.390142540984858,5.040901705253859,4.661607615340553
Bias,-1.660218747244148e-05,-1.3419831319922934e-05,-1.554484424035609e-05,-1.560638917869965e-05,-1.3825230595874019e-05,-1.386368233762075e-05,-1.515118751468182e-05,-1.5617906289432088e-05,-1.6332188860288393e-05,-1.5719510379642022e-05,-1.3142985070106005e-05,-1.272480198731019e-05,-1.2843406142923565e-05,-1.3922787349854048e-05,-1.4402961164793825e-05,-1.307533204226834e-05,-1.2038943350041668e-05,-1.3579616086839646e-05,-1.6312888249324383e-05,-1.5735639399358297e-05,-1.689867520487246e-05,-1.473050492984114e-05,-1.5301937234351883e-05,-1.7047893670561267e-05,-1.8022200781245052e-05,-1.7484349725389846e-05,-1.6883125125040724e-05,-1.9388145472594482e-05,-2.1895953243394728e-05,-2.110230202051485e-05,-1.9994598954603e-05,-1.9231589608449327e-05,-1.9447256298574668e-05,-2.0003861581578266e-05,-1.67299410444329e-05,-1.749237443878418e-05,-1.9073603758264123e-05,-1.8062032471635922e-05,-1.804317936420554e-05,-1.9654268982788217e-05,-1.7033439757635008e-05,-2.075375180419777e-05,-2.0449266053562706e-05,-2.0215191333897523e-05,-2.064165924963864e-05,-1.886876505079406e-05,-1.5765598695823036e-05,-1.6540744106507965e-05,-1.6598652253166113e-05,-1.7399596990636027e-05,-1.8079067118437447e-05,-1.8474094472049747e-05,-1.827552108499525e-05,-1.795487897882001e-05,-1.9048561805762875e-05,-1.9377804121993656e-05,-1.6805616787319728e-05,-1.4955179480283452e-05,-1.5142403668776763e-05,-1.3238393882191719e-05,-1.258158763496681e-05,-1.3164126256014415e-05,-1.0838840467144625e-05,-1.1743142722920463e-05,-1.1114785696851125e-05,-1.0907324262180321e-05,-1.0573552486038725e-05,-1.0238968325785487e-05,-8.48935596391842e-06,-9.116606321415346e-06,-8.307192380342354e-06,-8.716374599137982e-06,-7.801693588149185e-06,-7.108051230987823e-06,-3.7575670992546393e-06,-4.843407924469277e-06,-4.800585979122249e-06,-4.271774049664335e-06,-2.8988261192898293e-06,-2.843661850541193e-06,-1.5942278679132981e-06,-3.0494606074192615e-06,-5.469468584715402e-06,-5.4214147728707195e-06,-3.577173754075194e-06,-1.2800281746249902e-06,-2.088447328071367e-06,-3.86660042432302e-06,-4.679993929906615e-06,-7.083397683434049e-06,-7.224424626937514e-06,-6.634207920333573e-06,-5.431191102487267e-06,-6.413969218385643e-06,-5.791815473616587e-06,-4.896327688171034e-06,-4.3131296766458126e-06,-2.315001617899263e-06,-1.6021242713462712e-06,-3.208766149957284e-06,-3.2492825146895478e-06,-3.0755756984432333e-06,-2.190105799358791e-06,-1.8835163241625206e-06,-3.130769145267805e-06,-2.63093817341432e-06,4.6794356637756135e-07,-2.1601955232940398e-07,-9.613504517840425e-07,-5.286507992486968e-07,7.586002049683821e-07,1.430246253549413e-06,2.679286677115689e-06,1.568750206500237e-06,1.8121877010191814e-06,2.7358744024930846e-06,2.657469293232492e-06,6.065880038829638e-07,-1.837375147790519e-06,-1.800856694419473e-06,-9.143228655712509e-07,1.4410415193148824e-06,-1.2400776615634192e-06,-2.890050963685201e-06,-5.419626043060738e-06,-5.400504621777648e-06
