,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
R2,0.8525943034093428,0.8566545492319515,0.8534423507534995,0.8540930405502563,0.8581631889839947,0.8602819156330392,0.8593831558224118,0.8507925777619503,0.8456251703900587,0.8439629081747031,0.843846790733148,0.850938036739356,0.8564923318766569,0.8611344194965754,0.862457594844383,0.8687864655426251,0.8830097325951484,0.8952307006057384,0.8958000293806109,0.8970590460993972,0.8940932474912002,0.8918972332085755,0.8889954887911657,0.8904384391101228,0.8848489670063295,0.8787048687307258
MSE,6.0901515079122826e-09,5.9137598295304426e-09,5.983588363540094e-09,6.002537399595031e-09,5.9891064237192625e-09,5.815271866597577e-09,5.919122175008051e-09,6.469247704698264e-09,6.71354390675568e-09,6.8095423777644214e-09,6.789144555813817e-09,6.418343549942053e-09,6.21577220974088e-09,6.212765594321834e-09,6.415480392700556e-09,6.198802096828901e-09,5.706295626158019e-09,5.229888918461104e-09,5.183743036511595e-09,5.092085311883056e-09,5.2253638753850685e-09,5.423090668726326e-09,5.59949011562781e-09,5.576286104728439e-09,5.92040965693018e-09,6.340297687258106e-09
MAE,4.0203140304653015e-05,3.8432722731357895e-05,3.834436230942611e-05,3.934783738537982e-05,3.983550950169349e-05,4.001804266952458e-05,4.141235378537469e-05,4.308273152517043e-05,4.2028182196510433e-05,4.2119296222170715e-05,4.3347501471668224e-05,4.30695580279166e-05,4.25604107381016e-05,4.319939869331996e-05,4.407054595053494e-05,4.3521613190860676e-05,4.136115332586405e-05,3.899515898405798e-05,3.9721842138880835e-05,4.055330374653955e-05,4.129306797111923e-05,4.266285276452003e-05,4.349664109594865e-05,4.140386899984723e-05,4.3208794191860595e-05,4.4381952011848214e-05
RMSE,7.803942278049142e-05,7.690097417803263e-05,7.735365772566992e-05,7.747604403681845e-05,7.738931724546524e-05,7.625792986042551e-05,7.693583154166888e-05,8.043163373137626e-05,8.193621852853401e-05,8.251995139215984e-05,8.239626542394877e-05,8.0114565154796e-05,7.8840168757689e-05,7.882109866223532e-05,8.009669401854584e-05,7.87324716799168e-05,7.554002664917467e-05,7.231797092328507e-05,7.199821550921659e-05,7.135884886881974e-05,7.228667840885393e-05,7.364163678739307e-05,7.482974084966358e-05,7.467453451296793e-05,7.694419833184422e-05,7.962598625610929e-05
MAPD,5.127672573086727,5.168704650839586,4.759082598687617,4.752848484949091,4.831799026199659,5.754379682169547,5.841241907536199,5.743689005456997,5.974115831823449,6.170838965527774,6.13626852610391,5.899825049585602,5.690798612524804,6.075584889243492,5.583152441205985,6.280795580498584,5.739961506786482,4.896795999238832,4.483981070307898,5.468092686361812,5.610178833332643,5.784086739720899,4.969214112349219,4.585167340608511,4.9652594316962,5.061772441940845
Bias,-1.1294521993260762e-05,-1.0318832311725766e-05,-1.1736103082562826e-05,-1.2700335657601281e-05,-1.0104468658380755e-05,-1.0641154424115395e-05,-1.1555521018148496e-05,-1.2202103165078913e-05,-1.2865113769725213e-05,-1.2991879267540102e-05,-1.0970847426683068e-05,-1.0296057724138359e-05,-1.0319950864330598e-05,-1.1173999844042684e-05,-1.1086085146520716e-05,-1.0341905988216765e-05,-1.005735254800897e-05,-1.1523094752520198e-05,-1.4732385971196282e-05,-1.4800061074858969e-05,-1.617560931697161e-05,-1.4512662507692021e-05,-1.5389163208613292e-05,-1.690016707889809e-05,-1.7840063129103757e-05,-1.7304608839801785e-05
